./data_files/66°30.xls: 14031L0
   acronym  code  concentration
20    ACTI   731         0.0020
21    ADDI    77         0.0015

./data_files/13501 à 14099.xls: 13501L10
   acronym  code  concentration
3      EAU     4        0.65859
4     EXTR   227        0.11000
5     CONS    35        0.00500
6     CONS    21        0.00300
7     CONS    68        0.00500
9     HUME     2        0.03000
10    GELI    18        0.00400
11    GELI    87        0.00600
13    MOUS    80        0.10000
14    MOUS    34        0.05000
15    ADDI     2        0.00041
17    EXTR   266        0.00100
18    ACTI    75        0.00200
19    ACTI  1093        0.02000
20    PARF   351        0.00500

./data_files/13501 à 14099.xls: 13887L18
   acronym  code  concentration
3      EAU     4          0.682
4     ACTI   270          0.005
5     ACTI   412          0.030
7     GELI    18          0.004
8     HUME     2          0.030
10    CGRA     4          0.005
11    CGRA     6          0.025
12    HUIL   168          0.010
13    CGRA    45          0.010
14    EMUL   100          0.060
15    HUIL   184          0.015
16    HUIL    40          0.040
17    CGRA   523          0.040
18    CGRA    17          0.010
19    ADDI     2          0.002
21    CONS    69          0.030
22    PARF   345          0.002

./data_files/13501 à 14099.xls: 14031L1
   acronym  code  concentration
3      EAU     5         0.5047
4     ADDI   115         0.0800
6     HUME     2         0.0400
7     GELI    18         0.0050
9     CGRA    17         0.0600
10    CGRA    63         0.0100
11    HUIL   156         0.0100
12    EMUL    24         0.0700
13    CGRA    45         0.0400
14    HUIL    95         0.0300
15    HUIL     4         0.0400
16    HUIL   143         0.0300
18    CONS    63         0.0110
19    CONS    85         0.0030
21    EXTR   265         0.0100
22    ACTI   736         0.0100
23    ACTI  1093         0.0200
24    ACTI   223         0.0200
25    PARF   564         0.0050
27    ADDI    98         0.0013

./data_files/13501 à 14099.xls: 14032L1
   acronym  code  concentration
3      EAU     5         0.5661
4     ACTI   412         0.0200
5     EXTR   265         0.0100
7     HUME     2         0.0400
8     GELI    18         0.0050
10    CGRA    17         0.0600
11    CGRA    63         0.0100
12    HUIL   156         0.0100
13    EMUL    24         0.0800
14    CGRA    45         0.0500
15    HUIL    95         0.0300
16    CGRA    14         0.0200
17    HUIL     4         0.0400
18    HUIL   143         0.0300
20    CONS    63         0.0110
21    CONS    85         0.0030
23    PARF   345         0.0020
24    ADDI     1         0.0029
25    ACTI   736         0.0100

./data_files/13536L5.xls: 13536L5
   acronym  code  concentration
3      EAU     4         0.5514
4     ACTI   270         0.0030
5     HUME     2         0.0300
7     GELI    22         0.0015
8     GELI    23         0.0375
10    ACTI   936         0.1000
12    EMUL    24         0.0600
13    CGRA    48         0.0250
14    CGRA     4         0.0200
15    CONS    68         0.0050
16    ADDI     2         0.0020
17    HUIL    18         0.0500
19    EXTR   169         0.0300
20    EXTR    59         0.0500
21    CGRA    25         0.0300
22    ADDI     1         0.0006

./data_files/14003.xls: formule
   acronym  code  concentration
3      EAU     6        0.71505
4     HUME     5        0.02000
6     GELI    17        0.00400
7     CONS    79        0.04000
9     ADDI    17        0.00895
11    HUIL    35        0.03500
12    HUIL    13        0.06000
13    HUIL    36        0.02500
14    EMUL    28        0.02300
15    HUIL    19        0.01500
16    CGRA    15        0.01400
17    EMUL     3        0.02000
18    CGRA     1        0.00500

./data_files/14100 à 14300.xls: 14141L0
   acronym  code  concentration
3      EAU     5         0.6200
4     ADDI     3         0.0005
5     HUME     2         0.0500
6     GELI    17         0.0040
7     ADDI    98         0.0012
9     EMUL     1         0.0200
11    ADDI    98         0.0012
13    HUIL    18         0.0800
14    HUIL     4         0.0400
15    CGRA    15         0.0200
16     ABC   120         0.0200
17    FSOL     5         0.0100
18    HUIL   124         0.0200
20    CONS    11         0.0100
21    CONS    37         0.0030
22    HUME    16         0.0100
23    CONS    23         0.0010
25     EAU     5         0.0300
26    ACTI    31         0.0001
28    ACTI   175         0.0200
29    PARF   154         0.0050
31     EAU     4         0.0300
32    ACTI  1077         0.0040

./data_files/14100 à 14300.xls: 14141L1
   acronym  code  concentration
3      EAU     5         0.6230
4     ADDI     3         0.0005
5     HUME     2         0.0500
6     GELI    17         0.0040
7     ADDI    98         0.0012
9     EMUL     1         0.0200
11    ADDI    98         0.0012
13    HUIL    18         0.0800
14    HUIL     4         0.0400
15    CGRA    15         0.0200
