./data_files/66°30.xls: 14031L0
   acronym  code  concentration
5     FSOL     6        0.00050
6     HUME     2        0.02000
7     GELI    80        0.02000
9     MOUS     9        0.02000
10    PARF   102        0.00050
12    CONS    37        0.00300
13    HUME    16        0.02000
14    CONS    23        0.00100
16     EAU     3        0.05000
17    ACTI    73        0.00100
18    ACTI     4        0.00500
19    ACTI   490        0.00100
21    ACTI   503        0.04000
22     SOL    24        0.00150
23     SOL     9        0.00050
24    ADDI    98        0.00013

./data_files/14100 à 14300.xls: 14154L1
   acronym  code  concentration
3      EAU     8        0.81537
4     ADDI     3        0.00050
5     FSOL     6        0.00050
6     HUME     2        0.02000
7     GELI    80        0.02000
9     MOUS     9        0.02000
10    PARF   102        0.00020
12    CONS    37        0.00300
13    HUME    16        0.02000
14    CONS    23        0.00100
16     EAU     3        0.05000
17    ACTI    73        0.00100
18    ACTI     4        0.00500
19    ACTI   490        0.00100
21    ACTI   503        0.04000
22     SOL    24        0.00150
23     SOL     9        0.00050
24    ADDI    98        0.00013

./data_files/14100 à 14300.xls: 14166L0
   acronym  code  concentration
3      EAU     7       0.808025
4     GELI    17       0.003000
5     ADDI     3       0.000500
6     HUME     2       0.050000
8     ADDI    98       0.000800
10     EAU     7       0.050000
11    ACTI    31       0.000100
13    ACTI   834       0.020000
14    ACTI   816       0.000075
16    MOUS     9       0.010000
17     ABC   179       0.000500
19    HUME    17       0.040000
20    HUME    16       0.010000
21    CONS    23       0.001000
22    CONS    37       0.003000
23    CONS    56       0.003000

./data_files/14100 à 14300.xls: 14166L1
   acronym  code  concentration
3      EAU     7       0.839025
4     GELI    17       0.003000
5     ADDI     3       0.000500
6     HUME     2       0.050000
8     ADDI    98       0.000800
10     EAU     7       0.050000
11    ACTI    31       0.000100
13    ACTI   834       0.020000
14    ACTI   816       0.000075
16    MOUS     9       0.010000
17     ABC   179       0.000500
19    HUME    16       0.020000
20    CONS    23       0.001000
21    CONS    37       0.003000
22    CONS    64       0.002000

./data_files/14100 à 14300.xls: 14168L0
   acronym  code  concentration
3      EAU     3         0.6391
4     ADDI     3         0.0005
5     GELI    17         0.0050
6     HUME     2         0.0300
7     HUME    23         0.0300
8     ACTI   878         0.0050
10    ADDI    98         0.0010
12    GELI    15         0.0150
14    SILI    48         0.0250
15    SILI    23         0.0200
16    SILI     7         0.0500
18    HUME    16         0.0200
19    CONS    37         0.0030
20    CONS    23         0.0010
22     EAU     3         0.0099
23    ACTI    31         0.0005
25    ACTI   662         0.0200
26    ACTI   800         0.0300
27    ACTI   412         0.0300
28    ACTI   488         0.0100
29    ACTI   175         0.0100
30    ACTI   659         0.0400
31    ACTI   739         0.0025
32    ACTI   481         0.0025

./data_files/14100 à 14300.xls: 14181A0
   acronym  code  concentration
3      EAU     4        0.58951
4     ADDI     3        0.00050
5     HUME     2        0.03000
6     HUME    23        0.03000
7     ACTI   878        0.00500
9     GELI    17        0.00500
10    ADDI    98        0.00100
11    GELI    15        0.01500
13    SILI    48        0.02500
14    SILI    23        0.02000
15    SILI     7        0.05000
17    HUME    16        0.02000
18    CONS    37        0.00300
19    CONS    23        0.00100
21    ACTI    31        0.00050
22     EAU     3        0.05000
24    ACTI   800        0.03000
25    ACTI   412        0.03000
26    ACTI   488        0.01000
27    ACTI   175        0.01000
28    ACTI   662        0.02000
29    ACTI   659        0.04000
30    ACTI   739        0.00250
31    ACTI   481        0.00250
32    ACTI   667        0.00800
34    ADDI     1        0.00149

./data_files/14100 à 14300.xls: 14194L0
   acronym  code  concentration
3      EAU     8       0.852075
4     ACTI   278       0.010000
5     ACTI   543       0.020000
7     GELI    18       0.002000
8      ABC     1       0.050000
9     HUME     2       0.030000
11     ABC    15       0.009900
12    EXTR   324       0.000025
14    HUME    16       0.020000
15    CONS    37       0.003000
16    CONS    23       0.001000
17    CONS    64       0.002000

./data_files/14100 à 14300.xls: 14195L0
   acronym  code  concentration
3      EAU    13       0.578075
4     ACTI   270       0.003000
5     ADDI    27       0.080000
6     ADDI    10       0.020000
8     ADDI    17       0.005000
10    CGRA    15       0.080000
11    CGRA   556       0.050000
12    HUIL    13       0.100000
13     ABC    12       0.030000
14    ACTI   469       0.010000
15    ADDI     2       0.002000
17    HUME    16       0.010000
18    CONS    23       0.001000
20     ABC    15       0.009900
21    EXTR   324       0.000025
23    ACTI   543       0.020000
24    PARF   415       0.001000

./data_files/14100 à 14300.xls: 14196L0
   acronym  code  concentration
3      EAU     8       0.838075
4     ACTI   278       0.010000
5     ACTI   626       0.030000
6     GELI    15       0.020000
8      ABC    15       0.009900
9     EXTR   324       0.000025
11    ACTI   469       0.040000
12    SILI     9       0.020000
14    MOUS     9       0.005000
15    PARF   377       0.001000
17    HUME    16       0.020000
18    CONS    37       0.003000
19    CONS    23       0.001000
20    CONS    64       0.002000

./data_files/14100 à 14300.xls: 14197L0
   acronym  code  concentration
3      EAU     8       0.862108
4     HUME     2       0.050000
5     HUME     7       0.050000
6      ABC    56       0.001000
7     GELI    17       0.002000
9     ADDI    98       0.000400
11     ABC    67       0.001000
13    HUME    17       0.000990
14    EXTR   324       0.000003
16    MOUS     9       0.010000
17    PARF   372       0.000500
19    HUME    16       0.015000
20    CONS    37       0.003000
21    CONS    23       0.001000
22    CONS    64       0.002000
24    ACTI   543       0.001000

./data_files/14100 à 14300.xls: 14198L0
   acronym  code  concentration
3      EAU     5       0.771475
4     ADDI     3       0.000500
5     HUME     2       0.050000
6     GELI    80       0.006000
8      ABC    12       0.050000
9     ACTI   469       0.040000
10    HUIL   174       0.020000
11    SILI    48       0.010000
13    ACTI   543       0.020000
15    HUME    17       0.010000
16    EXTR   324       0.000025
18    PARF   382       0.001000
20    HUME    16       0.015000
21    CONS    37       0.003000
22    CONS    23       0.001000
23    CONS    64       0.002000

./data_files/14100 à 14300.xls: 14199L0
   acronym  code  concentration
3      EAU     4       0.787775
4     ADDI     3       0.000500
5     HUME     2       0.020000
6     GELI    17       0.004000
8     EMUL     1       0.020000
10    HUIL   174       0.020000
11    SILI     3       0.010000
12     ABC   116       0.030000
13    HUIL     4       0.020000
14    ACTI   469       0.040000
16    ADDI    98       0.000800
18     ABC    15       0.009900
19    EXTR   324       0.000025
21    PARF   376       0.001000
22    ACTI   543       0.020000
24    HUME    16       0.010000
25    CONS    37       0.003000
26    CONS    23       0.001000
27    CONS    64       0.002000

./data_files/14100 à 14300.xls: 14200L0
   acronym  code  concentration
3      EAU     4       0.608975
4     GELI    17       0.003000
5     HUME     2       0.080000
6      ABC    56       0.010000
7     ADDI     3       0.000500
9     EMUL     3       0.050000
10     ABC   120       0.020000
11    HUIL    36       0.030000
12    HUIL   174       0.050000
13     ABC    12       0.020000
14    HUIL     4       0.020000
15    ACTI   469       0.040000
16    SILI     7       0.020000
18    ADDI    98       0.000600
20    EXTR   324       0.000025
21     ABC    15       0.009900
23    HUME    16       0.010000
24    CONS    37       0.003000
25    CONS    23       0.001000
26    CONS    64       0.002000
28    PARF   496       0.001000
29    ACTI   543       0.020000

./data_files/14100 à 14300.xls: 14234L0
   acronym  code  concentration
3      EAU     5         0.8344
4     ADDI     3         0.0005
5     GELI    17         0.0040
6     HUME     2         0.0300
7     HUME     7         0.0300
8     ADDI    17         0.0040
10    CONS    37         0.0030
11    HUME    16         0.0100
12    CONS    23         0.0010
13    CONS    64         0.0020
15    ACTI    31         0.0001
16     EAU     5         0.0300
18    SILI     9         0.0100
19    PARF   401         0.0010
20    MOUS     9         0.0100
22    EXTR   182         0.0050
23    ACTI   444         0.0010
24    ACTI   736         0.0050
25    ACTI   835         0.0100
26    ACTI   748         0.0050
27    ACTI  1086         0.0010
28    ACTI  1087         0.0010
29    ACTI  1088         0.0010
30    ACTI  1089         0.0010

./data_files/14100 à 14300.xls: 14235L0
   acronym  code  concentration
3      EAU     4         0.3635
4     ACTI    31         0.0050
5      ABC   112         0.0100
7     MOUS     9         0.0050
8      ABC   179         0.0005
10    CONS    37         0.0030
11    CONS    23         0.0010
12    CONS    64         0.0020
13    HUME    16         0.0100
15    ACTI   834         0.6000

./data_files/14100 à 14300.xls: 14236L0
   acronym  code  concentration
3      EAU     5         0.6399
4     GELI    80         0.0120
6      EAU     5         0.2000
7     ACTI   505         0.0300
8     ACTI   414         0.0200
9     ACTI     4         0.0200
10     ABC    56         0.0200
11    ACTI    73         0.0100
12    ACTI   490         0.0100
14    EXTR   324         0.0001
15    HUME    17         0.0100
17    CONS    37         0.0030
18    CONS    23         0.0010
19    HUME    16         0.0100
20    CONS    64         0.0020
22    MOUS     9         0.0100
23    PARF   377         0.0010
24    ACTI    43         0.0010

./data_files/14100 à 14300.xls: 14242L0
   acronym  code  concentration
3      EAU     7         0.7850
4     ACTI   505         0.0300
5     ACTI   278         0.0200
6     GELI    15         0.0200
8     SILI     9         0.0200
9     CONS    84         0.0100
10    EXTR   795         0.1000
11    HUME    18         0.0050
13     ABC   106         0.0001
14    HUME    17         0.0099

./data_files/14100 à 14300.xls: 14250L0
  acronym  code  concentration
3    ADDI   123          0.755
4    GELI    92          0.100
5    ADDI   125          0.015
6    ADDI   127          0.070
7    GELI    75          0.030
9    COLO    93          0.015

./data_files/14100 à 14300.xls: 14250L1
  acronym  code  concentration
3    ADDI   123         0.7345
4    GELI    92         0.1000
5    ADDI   125         0.0150
6    ADDI   127         0.0700
7    GELI    75         0.0300
9    COLO    93         0.0300

./data_files/14100 à 14300.xls: 14250L2
  acronym  code  concentration
3    ADDI   123         0.7222
4    GELI    92         0.1000
5    ADDI   125         0.0100
6    ADDI   127         0.0700
7    GELI    75         0.0300
8    COLO   548         0.0050
9    COLO    93         0.0400

./data_files/14100 à 14300.xls: 14250L3
  acronym  code  concentration
3    ADDI   123        0.69998
4    GELI    92        0.10000
5    ADDI   125        0.01000
6    ADDI   127        0.08000
7    GELI    75        0.03000

./data_files/14100 à 14300.xls: 14262L19
  acronym  code  concentration
3    ADDI   123         0.7699
4    GELI    92         0.1000
5    ADDI   127         0.0800
6    ADDI   125         0.0100
7    GELI    75         0.0300
8    ACTI   779         0.0001

./data_files/14230L15.xls: formule
   acronym  code  concentration
3      EAU     4        0.63308
4     ADDI     3        0.00100
5     FSOL    55        0.04000
7     HUME     5        0.03000
8     GELI    12        0.00200
10    EMUL     1        0.00500
12    FSOL    62        0.03000
13    EMUL    77        0.06000
14    EMUL   123        0.01000
15    CGRA    14        0.00500
17    FSOL    48        0.03000
18    FSOL     5        0.06500
20    SILI    12        0.02000
21    SILI    29        0.04000
23    ADDI    98        0.00042
25    HUME    16        0.01000
26    CONS    23        0.00100
27    CONS    56        0.00300
28    CONS    37        0.00300
30    ACTI   800        0.01000
32     PEG     2        0.00150

./data_files/14301 à 14500.xls: 14350L0
   acronym  code  concentration
3      EAU     4        0.70804
4     ADDI     3        0.00050
5     HUME     2        0.03000
7     GELI     7        0.00100
9     CGRA     1        0.03000
10    EMUL    11        0.02000
11    HUIL     3        0.03500
12    HUIL    18        0.00500
13    CGRA     6        0.02100
14    CGRA    48        0.03000
15    CGRA    15        0.00500
17    HUIL   183        0.00500
18    SILI    37        0.03000
19    ACTI    44        0.00500
21    ADDI    17        0.00336
23    HUME    17        0.05000
24    CONS    61        0.00800
25    CONS    37        0.00300
27     SOL     4        0.00010
28    CGRA    25        0.01000

./data_files/14301 à 14500.xls: 14358L0
   acronym  code  concentration
3      EAU     4         0.6073
4     HUME     2         0.0342
5     HUME    21         0.0400
6     GELI    75         0.0320
8     EMUL   126         0.0175
9     MOUS    27         0.0100
10    ACTI     7         0.0500
11    HUIL    88         0.0200
12    CGRA    68         0.0400
14    CONS    37         0.0030
15    CONS    23         0.0010
16    HUME    16         0.0100
17    HUME    20         0.0200
19     EAU     3         0.0500
20    ACTI    31         0.0003
22    ADDI    49         0.0100
23    ACTI    25         0.0200
24    ACTI   434         0.0300
25    PARF   382         0.0030
26    ADDI     1         0.0017

./data_files/14301 à 14500.xls: 14388L0
   acronym  code  concentration
3      EAU     4        0.59555
4     HUME     2        0.03000
5     GELI    18        0.00150
6     EMUL   114        0.04000
7     EMUL     1        0.01000
9     EMUL    53        0.01000
10    FSOL    48        0.06000
11    FSOL     5        0.06000
12    FSOL    24        0.03000
13    HUIL    54        0.01000
14    FSOL    54        0.02500
15    HUIL   161        0.00500
17    SILI     3        0.02000
18    ACTI    44        0.00500
20    FSOL    55        0.02500
22    HUME    16        0.02000
23    CONS    37        0.00300
24    CONS    56        0.00200
26    ACTI   713        0.04000
27    ADDI    62        0.00280
28    ADDI   102        0.00060
29     SOL     8        0.00055
30     SOL    24        0.00100
31    PARF   565        0.00300

./data_files/14301 à 14500.xls: 14388L1
   acronym  code  concentration
3      EAU     4        0.60405
4     HUME     2        0.03000
5     GELI    18        0.00300
7     EMUL    67        0.05000
8     FSOL    48        0.06000
9     FSOL     5        0.06000
10    FSOL    24        0.03000
11    HUIL    54        0.01000
12    FSOL    54        0.03000
13    HUIL   161        0.00500
15    SILI     3        0.02000
16    ACTI    44        0.00500
17    ADDI    62        0.00280
18    ADDI   102        0.00060
20    FSOL    55        0.02000
22    HUME    16        0.02000
23    CONS    37        0.00300
24    CONS    56        0.00200
26    ACTI   713        0.04000
27     SOL     8        0.00055
28     SOL    24        0.00100
29    PARF   565        0.00300

./data_files/14301 à 14500.xls: 14388L2
   acronym  code  concentration
3      EAU     4        0.60405
4     HUME     2        0.03000
5     GELI    18        0.00300
7     EMUL    67        0.05000
8     FSOL    48        0.06000
9     FSOL     5        0.06000
10    FSOL    24        0.03000
11    HUIL    54        0.01000
12    FSOL    54        0.03000
13    HUIL   161        0.00500
15    SILI     3        0.02000
16    ACTI    44        0.00500
18    FSOL    55        0.02000
20    HUME    16        0.02000
21    CONS    37        0.00300
22    CONS    56        0.00200
24    ACTI   713        0.04000
25    ADDI    62        0.00280
26    ADDI   102        0.00060
27     SOL     8        0.00055
28     SOL    24        0.00100
29    PARF   565        0.00300

./data_files/14301 à 14500.xls: 14426L0
   acronym  code  concentration
3      EAU     5         0.6724
4     ADDI     3         0.0005
5     HUME     2         0.0300
6     HUME     7         0.0300
7     GELI    17         0.0040
9     HUIL     1         0.0500
10    HUIL    18         0.0500
12    GELI    15         0.0120
15    ACTI    31         0.0001
17    EXTR   266         0.0050
18    ACTI   829         0.0100
19    ACTI    80         0.0100
20    VITA   512         0.0020
22    HUME    16         0.0200
23    CONS    64         0.0020
24    ACTI   713         0.0400
26    ACTI   118         0.0020
27    SOLV     2         0.0100

./data_files/14301 à 14500.xls: 14439L0
   acronym  code  concentration
3     ADDI   123         0.7718
4     GELI    92         0.1000
5     ADDI   127         0.0750
6     ADDI   125         0.0100
7     ACTI   779         0.0001
8     GELI    75         0.0300
10    ACTI   540         0.0030
11    EXTR   324         0.0001

./data_files/14301 à 14500.xls: 14488L2
   acronym  code  concentration
3      EAU     5         0.7130
4     ADDI     3         0.0005
5     HUME     2         0.0300
6     HUME     7         0.0400
8     GELI    17         0.0050
9     GELI    12         0.0020
11    EMUL     3         0.0200
12    HUIL     4         0.0200
13    HUIL   127         0.0200
14    HUIL   174         0.0200
15    CGRA    14         0.0400
17    SILI    29         0.0200
19    ADDI    98         0.0015
21    HUME    16         0.0100
22    CONS    56         0.0030
23    CONS    37         0.0030
24    CONS    23         0.0010
26    ACTI  1109         0.0200
27    ACTI   828         0.0300
28    ACTI   991         0.0010

./data_files/14301 à 14500.xls: 14489L1
   acronym  code  concentration
3      EAU     5         0.7720
4     ADDI   152         0.0100
5     ADDI     3         0.0005
7     GELI    17         0.0050
8     ADDI    98         0.0015
10    EMUL     3         0.0300
11    CGRA    14         0.0200
12    ACTI     7         0.0500
13    HUIL    18         0.0200
14    HUIL     1         0.0100
15    HUIL   195         0.0100
16    HUIL    24         0.0100
17    CGRA    15         0.0200
19    SILI    50         0.0100
21    ACTI   828         0.0300
22    ACTI   991         0.0010

./data_files/14301 à 14500.xls: 14490L1
   acronym  code  concentration
3      EAU     5         0.7584
4     ADDI   152         0.0100
5     ADDI     3         0.0005
6     HUME     2         0.0300
8     GELI    15         0.0200
10    HUIL     1         0.0600
11    SILI    29         0.0400
13     EAU     3         0.0500
14    EXTR     2         0.0001
15    ACTI   828         0.0300
16    ACTI   991         0.0010

./data_files/14301 à 14500.xls: 14491L0
  acronym  code  concentration
3     EAU     5         0.9585
4    ACTI    31         0.0025
6    CONS    28         0.0050
7    ACTI  1077         0.0040
8    ACTI  1076         0.0200
9    EXTR   147         0.0100

./data_files/14301 à 14500.xls: 14492L0
   acronym  code  concentration
3      EAU     5         0.8435
4     ADDI     3         0.0005
5     GELI    17         0.0040
7     ADDI    98         0.0012
9     CONS    28         0.0050
10    MOUS     9         0.0100
11    PARF   403         0.0005
13     EAU     3         0.1000
14    ACTI  1077         0.0040
16    ACTI  1076         0.0200
17    EXTR   183         0.0100
18    ACTI   806         0.0010
19     SOL     9         0.0003

./data_files/14301 à 14500.xls: 14495L0
   acronym  code  concentration
3      EAU     5         0.8423
4     ADDI     3         0.0005
5     GELI    17         0.0040
6     ACTI   878         0.0100
8     GELI    15         0.0200
10    HUIL     4         0.0400
11    HUIL    18         0.0400
13    PARF   378         0.0010
14    ADDI    98         0.0012
15     ABC    96         0.0050
16    EXTR     7         0.0050
17    ACTI  1103         0.0020
19    CONS    37         0.0030
20    CONS    23         0.0010
21    CONS    69         0.0150
22    HUME     5         0.0100

./data_files/14301 à 14500.xls: 14498L0
   acronym  code  concentration
3      EAU     5         0.7600
4     HUME     2         0.0200
5     ACTI    31         0.0005
6     GELI    76         0.0200
7     ACTI   412         0.0300
9     HUIL    41         0.0400
10    COLO    68         0.0300
11    ACTI    44         0.0050
12    ACTI    43         0.0010
13    FSOL     5         0.0100
14    FSOL     3         0.0100
15    SILI    29         0.0200
17    CONS    37         0.0030
18    HUME    16         0.0200
20    ACTI   667         0.0200
21    ACTI   753         0.0040

./data_files/14301 à 14500.xls: 14499L0
   acronym  code  concentration
3      EAU     4        0.39982
4     HUME     2        0.03000
5     ADDI     3        0.00100
6     ADDI    33        0.01000
8     GELI    16        0.00500
10    EMUL    26        0.02000
11    EMUL    41        0.10000
12    HUIL     1        0.05000
13    CGRA    14        0.00500
14    MOUS    38        0.01000
15    ACTI   738        0.01000
16    SILI     8        0.02000
18    SILI     7        0.05000
19    FSOL     5        0.06500
20    ACTI   469        0.04000
22    FSOL    14        0.10000
23    COLO    68        0.01300
24    COLO    70        0.00045
25    COLO    69        0.00270
26    COLO    72        0.00003
28    SILI    14        0.02000
30    HUME     5        0.02000
31    CONS    37        0.00300
32    CONS    64        0.00800
33    CONS    56        0.00300
34    HUME    16        0.01000
36    PARF   167        0.00300
37    ADDI     1        0.00920

./data_files/14301 à 14500.xls: 14499L1
   acronym  code  concentration
3     EMUL    44        0.02500
4     EMUL    35        0.02000
5     SILI     7        0.05000
6     SILI    14        0.04500
7     FSOL     3        0.03000
8     FSOL     5        0.07500
10    FSOL    14        0.08000
11    COLO    40        0.00050
12    COLO    41        0.00300
13    COLO    42        0.00003
14    ADDI    57        0.00500
15    PARF   167        0.00300
17     EAU     4        0.62747
18    ADDI   152        0.01000
19    HUME     2        0.02000
20    ADDI    32        0.00600

./data_files/14301 à 14500.xls: 14499L2
   acronym  code  concentration
3     EMUL    81        0.04500
4     HUIL     1        0.07000
5     FSOL     3        0.03000
6     FSOL     5        0.07500
7     SILI    29        0.07000
8     FSOL    14        0.04000
9     FSOL    22        0.05000
11    COLO    40        0.00050
12    COLO    41        0.00300
13    COLO    42        0.00003
15     EAU     4        0.46747
16    ADDI   152        0.01000
17    HUME     2        0.02000
18    ADDI    32        0.00600
20    SILI    14        0.06000
21    PARF   167        0.00300
22    ACTI   120        0.05000

./data_files/14501 à 14700.xls: 14510L0
   acronym  code  concentration
3      EAU     9        0.45989
4     GELI    84        0.00300
5     HUME     2        0.01000
7     ADDI     1        0.00011
9     MOUS    80        0.14800
10    MOUS     3        0.12900
11    MOUS    39        0.02500
12    MOUS    71        0.06000
13    MOUS    42        0.06700
14    ACTI   270        0.00500
15    MOUS    73        0.05000
16    CONS    84        0.01000
17    MOUS    41        0.03000
18    PARF   263        0.00300

./data_files/14501 à 14700.xls: 14511L0
   acronym  code  concentration
3      EAU     5        0.94095
4     GELI    11        0.00100
6     SOLV     2        0.05200
7     ACTI    10        0.00025
9     CONS     7        0.00300
10    ACTI    48        0.00200
11    CONS     9        0.00050
12     SOL     9        0.00020
13     SOL    24        0.00010

./data_files/14501 à 14700.xls: 14517L0
   acronym  code  concentration
3      EAU     5        0.70225
4     ADDI     3        0.00100
5     CONS    37        0.00150
6     CONS    21        0.00300
8     HUME    13        0.00750
9     GELI    18        0.01000
11    ACTI   742        0.00500
12    ACTI  1144        0.19000
14    MOUS     9        0.02000
15    PARF   377        0.00300
17    ACTI    31        0.00015
18     EAU     3        0.05000
20    ADDI    98        0.00660

./data_files/14501 à 14700.xls: 14527L0
   acronym  code  concentration
3      EAU     4         0.5655
4     HUME     2         0.0500
5     GELI    17         0.0020
7     EMUL     6         0.0400
8     CGRA     1         0.0300
9     HUIL    13         0.2000
10    SILI    28         0.0200
12    SILI    23         0.0100
14     EAU     3         0.0500
15    ACTI    31         0.0001
17    ADDI    98         0.0004
18    ACTI   597         0.0200
19    ADDI   152         0.0100
20    PARF   269         0.0020

./data_files/14501 à 14700.xls: 14527L1
   acronym  code  concentration
3      EAU     4         0.6091
4     CONS    56         0.0030
5     HUME     2         0.0500
6     GELI    17         0.0020
8     ADDI    98         0.0004
10    EMUL     6         0.0400
11    CGRA     1         0.0300
12    HUIL    13         0.1500
13    SILI    28         0.0200
15    ADDI    98         0.0004
17    SILI    23         0.0100
19    CONS    37         0.0030
20    CONS    23         0.0010
21    HUME    16         0.0100
23     EAU     3         0.0500
24    ACTI    31         0.0001
26    ACTI   597         0.0200
27    PARF   269         0.0010

./data_files/14501 à 14700.xls: 14527L2
   acronym  code  concentration
3      EAU     4         0.5691
4     HUME     2         0.0500
5     GELI    17         0.0020
7     ADDI    98         0.0004
9     EMUL     3         0.0400
10    CGRA     1         0.0200
11    HUIL    13         0.2000
12    SILI    28         0.0200
14    ADDI    98         0.0004
16    SILI    23         0.0100
18    CONS    56         0.0030
19    CONS    37         0.0030
20    CONS    23         0.0010
21    HUME    16         0.0100
23     EAU     3         0.0500
24    ACTI    31         0.0001
26    ACTI   597         0.0200
27    PARF   269         0.0010

./data_files/14501 à 14700.xls: 14528L0
   acronym  code  concentration
3      EAU     5          0.599
4     ADDI   152          0.010
5     ADDI    27          0.080
6     ADDI    10          0.010
8     ADDI    17          0.005
10    CGRA    15          0.080
11    CGRA   556          0.050
12    HUIL    13          0.080
13    HUIL    18          0.030
14    HUIL    24          0.010
15    HUIL   195          0.010
17    GELI    15          0.005
19    ACTI   828          0.030
20    ACTI   991          0.001

./data_files/14501 à 14700.xls: 14528L1
   acronym  code  concentration
3      EAU     5          0.597
4     ADDI    27          0.080
5     ACTI   270          0.004
6     ADDI    10          0.010
8     ADDI    17          0.005
10    CGRA    15          0.080
11    CGRA   556          0.050
12    HUIL    13          0.080
13    HUIL    18          0.030
14    HUIL    24          0.010
15    HUIL   195          0.010
16    ADDI     2          0.002
18    GELI    15          0.005
20    CONS    84          0.006
22    ACTI   828          0.030
23    ACTI   991          0.001

./data_files/14501 à 14700.xls: 14564L0
   acronym  code  concentration
3      EAU     5          0.717
4     ACTI    21          0.010
5     HUME     2          0.050
7     CONS    37          0.002
8     CONS    52          0.001
9     HUME    17          0.150
11    EXTR   311          0.050
12    ACTI   597          0.020

./data_files/14501 à 14700.xls: 14564L1
   acronym  code  concentration
3      EAU     5          0.667
4     ACTI    21          0.010
5     HUME     2          0.050
7     CONS    37          0.002
8     HUME    17          0.150
9     CONS    52          0.001
11    ACTI   597          0.020
12    EXTR   239          0.070
13    EXTR   254          0.030

./data_files/14501 à 14700.xls: 14566L0
  acronym  code  concentration
3    ADDI   123           0.62
4    ADDI    25           0.12
5    GELI    92           0.10
6    ADDI   127           0.12
7    ADDI   125           0.04

./data_files/14501 à 14700.xls: 14568L0
   acronym  code  concentration
3      EAU     4         0.7776
4     HUME     2         0.1000
5     ACTI   721         0.0200
7     MOUS    37         0.0100
8     ADDI   152         0.0100
9     HUME    16         0.0100
11    MOUS    37         0.0100
13     EAU     3         0.0100
14    ADDI    98         0.0024
15    ACTI   850         0.0500

./data_files/14501 à 14700.xls: 14588L0
   acronym  code  concentration
3      EAU     5          0.712
4     EXTR   231          0.100
5     ACTI    21          0.010
6     ADDI    40          0.098
7     ACTI    97          0.020
9     HUME     2          0.050
10    ADDI   152          0.010

./data_files/14501 à 14700.xls: 14588L1
   acronym  code  concentration
3      EAU     5          0.722
4     EXTR   231          0.100
5     HUME     2          0.020
6     ACTI    21          0.010
7     ADDI    40          0.098
8     ACTI    97          0.020
10    ADDI   152          0.010
11    HUME    16          0.010
12    MOUS    37          0.010

./data_files/14501 à 14700.xls: 14588L2
   acronym  code  concentration
3      EAU     5          0.680
4     EXTR   231          0.100
5     ADDI    40          0.098
7     HUME     2          0.020
8     ACTI    21          0.010
9     ACTI    97          0.020
11     EAU     5          0.050
12    ADDI     2          0.002
14    CONS    63          0.010
15    HUME    16          0.010

./data_files/14501 à 14700.xls: 14601L0
   acronym  code  concentration
3      EAU     4       0.696955
4     ACTI     3       0.001000
5     ACTI   270       0.003000
6     ADDI   152       0.010000
7     ADDI    68       0.001000
9     GELI    31       0.003000
10    GELI    17       0.004000
12    HUIL    13       0.060000
13    EMUL     2       0.010000
14    EMUL    20       0.050000
15    HUIL   151       0.050000
16    CGRA    48       0.005000
17    HUIL    95       0.020000
18    CGRA    67       0.030000
19    CGRA     1       0.015000
21    COLO    69       0.006000
22    COLO    68       0.015000
23    COLO    70       0.003000
24    COLO    72       0.000300
25    SILI    28       0.005000
27    ADDI    98       0.000645
29    ACTI   122       0.001000
31    EXTR   324       0.000100
32    HUME    17       0.010000

./data_files/14501 à 14700.xls: 14601L1
   acronym  code  concentration
3      EAU     4       0.697155
4     ACTI     3       0.001000
5     ACTI   270       0.003000
6     ADDI   152       0.010000
7     ADDI    68       0.001000
9     GELI    31       0.003000
10    GELI    17       0.004000
12    HUIL    13       0.060000
13    EMUL     2       0.010000
14    EMUL    20       0.050000
15    HUIL   151       0.050000
16    CGRA    48       0.005000
17    HUIL    95       0.020000
18    CGRA    67       0.030000
19    CGRA     1       0.015000
21    COLO    69       0.003000
22    COLO    68       0.020000
23    COLO    70       0.001000
24    COLO    72       0.000100
25    SILI    28       0.005000
27    ADDI    98       0.000645
29    ACTI   122       0.001000
31    EXTR   324       0.000100
32    HUME    17       0.010000

./data_files/14501 à 14700.xls: 146017L0
   acronym  code  concentration
3      EAU     5          0.825
4     ADDI     3          0.003
5     ACTI   270          0.004
7     HUME     2          0.030
8     GELI    18          0.002
10    HUME    16          0.015
11    CONS    37          0.003
12    CONS    63          0.007
14    EXTR    19          0.050
15    EXTR    65          0.050
17    ACTI   438          0.001
18    MOUS    27          0.010

./data_files/A2P.xls: 12431A10 (2)
   acronym  code  concentration
3      EAU     4          0.617
4     ACTI    22          0.001
5     HUME    16          0.050
6     ACTI   270          0.003
7     ACTI   169          0.004
8     EXTS   503          0.005
9     HUME     2          0.030
11    EMUL    53          0.080
12    HUIL    78          0.030
13    HUIL    44          0.020
14    HUIL   114          0.035
15    SILI     3          0.010
16    CGRA    22          0.050
18    ACTI    44          0.002
20    CONS    61          0.008
22    ACTI   108          0.030
23    ACTI   104          0.010
24    ACTI   107          0.010
26     A2P     2          0.005

./data_files/A2P.xls: 12431A11
   acronym  code  concentration
3      EAU     4          0.665
4     ACTI    22          0.001
5     HUME    16          0.050
6     ACTI   270          0.003
