acronym,code,concentration
EXTR,293,0.005
EXTR,216,0.02
EAU,4,0.4386
HUME,20,0.03
EXTR,230,0.105
ACTI,270,0.0049
GELI,18,0.01
MOUS,84,0.13
MOUS,85,0.09
MOUS,34,0.1
CONS,84,0.01
HUIL,158,0.001
EXTR,307,0.0005
ACTI,412,0.03
EXTR,356,0.01
EXTR,293,0.005
EXTR,216,0.015
MOUS,84,0.02
EAU,4,0.4186
HUME,20,0.03
EXTR,230,0.105
ACTI,270,0.0049
GELI,87,0.01
MOUS,84,0.18
MOUS,85,0.06
CONS,84,0.01
HUIL,158,0.001
EXTR,307,0.0005
ACTI,412,0.03
MOUS,34,0.1
EXTR,356,0.01
EXTR,293,0.005
EXTR,216,0.015
MOUS,84,0.02
EAU,4,0.4886
HUME,20,0.03
EXTR,230,0.105
ACTI,270,0.0049
GELI,87,0.01
MOUS,84,0.18
MOUS,34,0.03
CONS,84,0.01
HUIL,158,0.001
EXTR,307,0.0005
MOUS,85,0.06
ACTI,412,0.03
EXTR,356,0.01
EXTR,293,0.005
EXTR,216,0.015
MOUS,84,0.02
EAU,4,0.5636
HUME,20,0.03
EXTR,230,0.105
ACTI,270,0.0049
GELI,87,0.01
MOUS,84,0.13
MOUS,34,0.02
CONS,84,0.01
HUIL,158,0.001
EXTR,307,0.0005
MOUS,85,0.045
ACTI,412,0.03
EXTR,356,0.01
EXTR,293,0.005
EXTR,216,0.015
MOUS,84,0.02
EAU,4,0.4415
EXTR,230,0.1
ACTI,270,0.003
CONS,74,0.008
CONS,85,0.002
ACTI,412,0.03
HUME,2,0.03
GELI,18,0.0065
EMUL,86,0.03
EMUL,96,0.01
CGRA,52,0.02
HUIL,40,0.03
CGRA,6,0.01
HUIL,18,0.1
HUIL,95,0.05
HUIL,199,0.05
EXTR,356,0.01
EXTR,307,0.01
HUIL,158,0.005
ACTI,31,0.001
EAU,4,0.05
EAU,4,0.4125
EXTR,230,0.1
ACTI,270,0.003
CONS,74,0.008
CONS,85,0.002
ACTI,412,0.03
HUME,2,0.03
GELI,79,0.01
GELI,18,0.0065
EMUL,86,0.04
EMUL,96,0.02
CGRA,52,0.02
HUIL,40,0.03
CGRA,6,0.01
HUIL,18,0.1
HUIL,95,0.05
HUIL,199,0.05
EXTR,356,0.01
EXTR,307,0.01
HUIL,158,0.005
PARF,704,0.002
ACTI,31,0.001
EAU,4,0.05
EAU,9,0.3537
ADDI,3,0.001
GELI,78,0.025
HUME,5,0.365
SOLV,2,0.09
SILI,38,0.01
SILI,23,0.06
PARF,418,0.0311
SILI,37,0.02
HUME,17,0.02
CONS,23,0.001
HUME,16,0.02
CONS,37,0.003
COLO,89,0.0001
HUIL,54,0.1
CGRA,581,0.03
HUIL,1,0.07
HUIL,18,0.2095
CGRA,527,0.04
CGRA,52,0.05
CGRA,4,0.07
CGRA,552,0.05
CGRA,512,0.06
CGRA,15,0.025
HUIL,35,0.03
ACTI,207,0.03
ACTI,120,0.035
FSOL,24,0.14
FSOL,14,0.06
ACTI,17,0.0005
CGRA,48,0.9
ACTI,44,0.01
HUIL,18,0.087
EAU,5,0.45631999999999984
MAIN,1,0.3
GELI,41,0.006
EMUL,2,0.05
HUIL,18,0.03
HUIL,206,0.03
HUIL,216,0.05
EMUL,20,0.025
ACTI,536,0.00028
SILI,52,0.02
CONS,90,0.01
ACTI,935,0.02
PARF,599,0.0007
ACTI,274,0.0017
MAIN,1,0.8
EAU,9,0.08102
GELI,41,0.01
HUIL,206,0.03
HUIL,216,0.03
ACTI,536,0.00028
SILI,52,0.02
CONS,90,0.008
ACTI,935,0.02
PARF,599,0.0007
MAIN,1,0.8
EAU,9,0.08922
GELI,41,0.01
HUIL,206,0.03
HUIL,216,0.03
ACTI,536,0.00028
SILI,52,0.02
CONS,90,0.008
EAU,3,0.01
ACTI,274,0.002
PARF,607,0.0005
MAIN,1,0.982
CONS,91,0.008
GELI,85,0.01
MAIN,2,0.982
CONS,91,0.008
GELI,85,0.01
EAU,4,0.4
HUME,2,0.01
MOUS,80,0.25
MOUS,3,0.125
MOUS,39,0.025
MOUS,49,0.03
MOUS,71,0.03
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
MOUS,80,0.02
EAU,4,0.4
HUME,2,0.01
MOUS,80,0.27
MOUS,3,0.125
MOUS,39,0.025
MOUS,49,0.03
MOUS,71,0.03
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
EAU,4,0.395
HUME,2,0.01
MOUS,80,0.25
MOUS,3,0.125
MOUS,39,0.025
MOUS,49,0.03
MOUS,71,0.03
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
MOUS,80,0.02
ADDI,101,0.2
ADDI,28,0.669
CGRA,39,0.03
ACTI,491,0.02
ADDI,104,0.04
HUIL,24,0.015
ADDI,152,0.006
PARF,677,0.02
ADDI,101,0.2
ADDI,28,0.669
CGRA,39,0.03
ACTI,491,0.02
ADDI,92,0.04
HUIL,24,0.015
ADDI,152,0.006
PARF,677,0.02
ADDI,101,0.1
ADDI,28,0.769
CGRA,39,0.03
ACTI,491,0.02
ADDI,92,0.04
HUIL,24,0.015
ADDI,152,0.006
DUR,4,0.02
ADDI,101,0.1
ADDI,28,0.769
CGRA,39,0.03
ACTI,491,0.02
ADDI,131,0.04
HUIL,24,0.015
ADDI,152,0.006
DUR,4,0.02
EAU,10,0.3855
HUME,2,0.05
EMUL,78,0.03
MOUS,51,0.1
MOUS,58,0.24
MOUS,3,0.08
MOUS,39,0.06
MOUS,1,0.0085
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ADDI,14,0.03
ACTI,425,0.004
ACTI,223,0.006
EAU,10,0.3405
HUME,2,0.05
MOUS,51,0.1
MOUS,58,0.26
MOUS,3,0.135
MOUS,39,0.06
MOUS,1,0.0085
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ADDI,14,0.03
ACTI,425,0.004
ACTI,223,0.006
EAU,10,0.379
HUME,2,0.05
MOUS,51,0.1
MOUS,58,0.26
MOUS,3,0.135
MOUS,39,0.03
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ADDI,14,0.03
ACTI,425,0.004
ACTI,223,0.006
EAU,10,0.489
HUME,2,0.05
MOUS,51,0.05
MOUS,58,0.25
MOUS,3,0.07
MOUS,39,0.03
MOUS,33,0.03
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ADDI,14,0.01
ACTI,223,0.01
COLO,78,0.005
EAU,10,0.46
HUME,2,0.05
GELI,66,0.05
MOUS,51,0.05
MOUS,58,0.25
MOUS,3,0.08
MOUS,39,0.03
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ACTI,223,0.01
ACTI,425,0.004
ADDI,14,0.01
EAU,10,0.47
HUME,2,0.05
GELI,66,0.05
MOUS,51,0.03
MOUS,58,0.25
MOUS,3,0.07
MOUS,39,0.03
MOUS,33,0.02
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ACTI,223,0.01
ACTI,425,0.004
ADDI,14,0.01
EAU,10,0.525
HUME,2,0.05
GELI,66,0.05
MOUS,51,0.015
MOUS,58,0.25
MOUS,3,0.05
MOUS,39,0.015
MOUS,33,0.015
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ACTI,223,0.01
ACTI,425,0.004
ADDI,14,0.01
EAU,10,0.52
HUME,2,0.05
GELI,66,0.05
MOUS,51,0.015
MOUS,58,0.25
MOUS,3,0.07
MOUS,39,0.015
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ACTI,223,0.01
ACTI,425,0.004
ADDI,14,0.01
EAU,10,0.62
HUME,2,0.05
GELI,66,0.05
MOUS,51,0.015
MOUS,58,0.15
MOUS,3,0.07
MOUS,39,0.015
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ACTI,223,0.01
ACTI,425,0.004
ADDI,14,0.01
EAU,10,0.6
HUME,2,0.05
GELI,66,0.05
MOUS,51,0.015
MOUS,39,0.015
MOUS,58,0.15
MOUS,3,0.07
ACTI,736,0.001
THOR,14,0.001
ADDI,1,0.001
ACTI,223,0.01
ACTI,425,0.004
ADDI,14,0.01
EAU,10,0.582
HUME,2,0.05
GELI,66,0.05
MOUS,51,0.015
MOUS,39,0.015
MOUS,3,0.07
MOUS,2,0.02
MOUS,58,0.15
ACTI,736,0.001
THOR,14,0.001
ACTI,223,0.012
EAU,10,0.02
ADDI,176,0.002
ADDI,14,0.01
GELI,66,0.08
GELI,18,0.003
HUME,2,0.05
EAU,10,0.549
MOUS,51,0.015
MOUS,39,0.015
MOUS,3,0.07
MOUS,2,0.02
MOUS,58,0.13
PARF,708,0.002
MOUS,58,0.02
ACTI,736,0.001
THOR,14,0.001
ACTI,223,0.012
EAU,10,0.02
ADDI,176,0.002
ADDI,14,0.01
EAU,10,0.534
GELI,18,0.003
HUME,2,0.065
GELI,66,0.08
MOUS,51,0.015
MOUS,39,0.015
MOUS,3,0.07
MOUS,2,0.02
MOUS,58,0.15
ACTI,736,0.001
THOR,14,0.001
ACTI,223,0.012
EAU,10,0.02
ADDI,176,0.002
ADDI,14,0.01
EAU,10,0.514
GELI,18,0.003
HUME,2,0.065
GELI,66,0.1
MOUS,51,0.015
MOUS,39,0.015
MOUS,3,0.07
MOUS,2,0.02
MOUS,58,0.15
ACTI,736,0.001
THOR,14,0.001
ACTI,223,0.012
EAU,10,0.02
ADDI,176,0.002
ADDI,14,0.01
EAU,6,0.1885
HUME,2,0.04
ADDI,166,0.04
EMUL,78,0.04
GELI,34,0.04
ADDI,27,0.31
CGRA,23,0.01
CGRA,45,0.0185
HUIL,80,0.005
HUIL,143,0.01
MOUS,35,0.2115
MOUS,58,0.074
THOR,44,0.0075
ACTI,736,0.005
EAU,6,0.2885
HUME,2,0.04
ADDI,166,0.04
MOUS,35,0.2115
MOUS,58,0.074
EMUL,78,0.04
GELI,34,0.04
ADDI,27,0.21
CGRA,23,0.01
CGRA,45,0.0185
HUIL,80,0.005
HUIL,143,0.01
THOR,44,0.0075
ACTI,736,0.005
EAU,6,0.424
HUME,2,0.04
ADDI,166,0.04
MOUS,35,0.1
MOUS,58,0.05
EMUL,78,0.04
GELI,34,0.04
ADDI,27,0.21
CGRA,23,0.01
CGRA,45,0.0185
HUIL,80,0.005
HUIL,143,0.01
THOR,44,0.0075
ACTI,736,0.005
EAU,6,0.3527
HUME,2,0.04
ADDI,166,0.04
EMUL,78,0.04
GELI,34,0.04
ADDI,27,0.21
CGRA,23,0.01
CGRA,45,0.0185
HUIL,80,0.005
HUIL,143,0.01
PARF,687,0.0013
MOUS,35,0.1
MOUS,58,0.05
COLO,61,0.02
EAU,6,0.05
THOR,44,0.0075
ACTI,736,0.005
EAU,6,0.3527
HUME,2,0.04
GELI,34,0.04
CGRA,23,0.01
CGRA,45,0.0185
HUIL,80,0.005
HUIL,143,0.01
ADDI,27,0.21
ADDI,166,0.04
EMUL,78,0.04
THOR,44,0.0075
ACTI,736,0.005
PARF,687,0.0013
MOUS,35,0.1
MOUS,58,0.05
COLO,61,0.02
EAU,6,0.05
EAU,6,0.3527
HUME,2,0.04
GELI,34,0.04
CGRA,23,0.01
CGRA,45,0.0185
HUIL,80,0.005
HUIL,143,0.01
ADDI,27,0.2
ADDI,166,0.04
EMUL,78,0.01
THOR,44,0.0075
ACTI,736,0.005
PARF,687,0.0013
MOUS,35,0.1
MOUS,58,0.05
COLO,61,0.02
EAU,6,0.05
ADDI,27,0.04
EAU,6,0.3427
HUME,2,0.04
GELI,34,0.04
CGRA,23,0.01
CGRA,45,0.0185
HUIL,80,0.005
HUIL,143,0.01
ADDI,27,0.2
ADDI,166,0.04
EMUL,78,0.01
THOR,44,0.0075
ACTI,736,0.005
PARF,687,0.0013
MOUS,35,0.1
MOUS,58,0.05
COLO,61,0.02
EAU,6,0.05
ADDI,27,0.04
EMUL,78,0.01
EAU,12,0.498
MOUS,42,0.04
MOUS,58,0.24
MOUS,37,0.06
MOUS,39,0.09
MOUS,2,0.03
HUIL,80,0.014
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
ADDI,14,0.003
EAU,12,0.498
MOUS,42,0.05
MOUS,58,0.26
MOUS,3,0.07
MOUS,39,0.05
MOUS,2,0.03
HUIL,80,0.014
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
ADDI,14,0.003
EAU,12,0.5
MOUS,35,0.06
MOUS,58,0.3
MOUS,39,0.05
MOUS,49,0.035
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
ADDI,14,0.03
EAU,12,0.48
MOUS,35,0.06
MOUS,58,0.3
MOUS,39,0.05
MOUS,49,0.035
MOUS,33,0.02
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
ADDI,14,0.03
EAU,12,0.44
MOUS,35,0.03
MOUS,51,0.07
MOUS,58,0.3
MOUS,39,0.05
MOUS,49,0.035
MOUS,33,0.02
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
ADDI,14,0.03
EAU,12,0.46
MOUS,42,0.03
MOUS,51,0.07
MOUS,58,0.3
MOUS,39,0.05
MOUS,49,0.035
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
ADDI,14,0.03
EAU,12,0.325
GELI,66,0.05
MOUS,42,0.05
MOUS,51,0.07
MOUS,39,0.05
MOUS,49,0.035
MOUS,58,0.35
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
PARF,692,0.002
ADDI,14,0.01
COLO,62,0.003
EAU,12,0.3583
GELI,66,0.05
MOUS,42,0.05
MOUS,51,0.07
MOUS,39,0.05
MOUS,49,0.035
MOUS,58,0.35
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
PARF,692,0.002
ADDI,14,0.0066
ADDI,98,0.0004
ADDI,92,0.0027
COLO,62,0.003
EAU,12,0.2516
MOUS,42,0.05
MOUS,51,0.07
MOUS,3,0.1567
MOUS,39,0.05
MOUS,49,0.035
MOUS,58,0.35
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
PARF,692,0.002
ADDI,14,0.0066
ADDI,98,0.0004
ADDI,92,0.0027
COLO,62,0.003
GELI,48,0.017
EAU,12,0.2346
MOUS,58,0.35
MOUS,3,0.1567
MOUS,42,0.05
MOUS,51,0.07
MOUS,39,0.05
MOUS,49,0.035
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
PARF,692,0.002
ADDI,14,0.0066
ADDI,98,0.0004
ADDI,92,0.0027
COLO,62,0.003
GELI,48,0.017
EAU,12,0.2113
MOUS,58,0.35
MOUS,3,0.18
MOUS,42,0.05
MOUS,51,0.07
MOUS,39,0.05
MOUS,49,0.035
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
PARF,692,0.002
ADDI,14,0.0066
ADDI,98,0.0004
ADDI,92,0.0027
COLO,62,0.003
EXTR,118,0.03
EAU,12,0.2053
MOUS,58,0.35
MOUS,3,0.18
MOUS,42,0.05
MOUS,51,0.07
MOUS,39,0.05
MOUS,49,0.035
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
PARF,692,0.002
ADDI,92,0.0027
COLO,62,0.003
GELI,7,0.0067
EAU,12,0.0801
ADDI,98,0.0025
MOUS,42,0.05
MOUS,51,0.07
MOUS,3,0.21
MOUS,39,0.05
MOUS,49,0.035
MOUS,58,0.466
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
PARF,692,0.002
ADDI,92,0.0027
COLO,62,0.003
GELI,7,0.0067
EAU,12,0.6361
ADDI,98,0.0025
MOUS,42,0.015
MOUS,51,0.02
MOUS,3,0.08
MOUS,39,0.03
MOUS,49,0.02
MOUS,58,0.16
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
EXTR,60,0.01
PARF,692,0.002
ADDI,92,0.0027
COLO,62,0.003
EAU,4,0.345
MOUS,29,0.12
MOUS,58,0.37
MOUS,33,0.01
MOUS,37,0.122
THOR,45,0.005
THOR,46,0.005
ACTI,736,0.001
ACTI,1083,0.02
MOUS,29,0.12
MOUS,58,0.38
MOUS,37,0.122
EAU,4,0.345
THOR,45,0.005
THOR,46,0.005
ACTI,736,0.001
ACTI,1083,0.02
MOUS,29,0.15
MOUS,58,0.4
EAU,4,0.417
THOR,45,0.005
THOR,46,0.005
ACTI,736,0.001
ACTI,1083,0.02
MOUS,58,0.3
MOUS,42,0.1
MOUS,2,0.05
EAU,4,0.517
THOR,45,0.005
THOR,46,0.005
ACTI,736,0.001
ACTI,1083,0.02
MOUS,58,0.3
MOUS,42,0.1
MOUS,2,0.05
EAU,4,0.517
THOR,45,0.005
THOR,46,0.005
ACTI,736,0.001
ACTI,1083,0.02
MOUS,58,0.2796
MOUS,42,0.1
MOUS,2,0.05
EAU,4,0.515
THOR,45,0.005
THOR,46,0.005
ACTI,736,0.001
ACTI,1083,0.02
MOUS,58,0.02
SOL,9,0.00021
COLO,62,0.0001
SOL,4,0.00018
PARF,688,0.002
MOUS,58,0.2796
MOUS,42,0.1
MOUS,2,0.05
EAU,4,0.5152
THOR,45,0.005
THOR,46,0.005
ACTI,736,0.001
ACTI,1083,0.02
MOUS,58,0.02
PARF,688,0.002
SOL,9,0.00021
ADDI,1,0.0018
SOL,4,0.00018
EAU,7,0.378
HUME,2,0.04
THOR,47,0.02
MOUS,35,0.0385
MOUS,58,0.371
MOUS,3,0.13
MOUS,1,0.01
THOR,43,0.0025
ACTI,736,0.001
ADDI,1,0.001
ADDI,14,0.005
EAU,3,0.378
HUME,2,0.04
THOR,47,0.02
MOUS,35,0.0385
MOUS,58,0.371
MOUS,3,0.13
MOUS,1,0.01
THOR,43,0.0025
ACTI,736,0.001
ADDI,1,0.001
ADDI,14,0.005
EAU,3,0.378
HUME,2,0.04
MOUS,35,0.0385
MOUS,58,0.371
MOUS,3,0.13
MOUS,1,0.01
THOR,43,0.0025
ACTI,736,0.001
ADDI,1,0.001
ADDI,14,0.005
EAU,3,0.483
HUME,2,0.04
ACTI,34,0.001
MOUS,35,0.0385
MOUS,58,0.3
MOUS,3,0.07
MOUS,1,0.01
MOUS,2,0.03
THOR,43,0.0025
ACTI,736,0.001
ADDI,1,0.001
ADDI,14,0.02
EAU,3,0.3906
ACTI,34,0.001
HUME,2,0.04
GELI,66,0.05
MOUS,35,0.0385
MOUS,58,0.33
MOUS,3,0.07
MOUS,1,0.01
MOUS,2,0.02
THOR,43,0.0025
ACTI,736,0.001
ADDI,1,0.0016
MOUS,58,0.02
PARF,691,0.002
COLO,78,0.0008
COLO,79,0.002
ADDI,14,0.02
EAU,3,0.3821
ACTI,34,0.001
HUME,2,0.04
GELI,66,0.05
MOUS,35,0.0385
MOUS,58,0.33
MOUS,3,0.07
MOUS,1,0.01
MOUS,2,0.02
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
ADDI,1,0.0016
MOUS,58,0.02
PARF,691,0.002
COLO,78,0.0008
COLO,79,0.002
ADDI,14,0.02
EAU,3,0.2654
GELI,48,0.01
HUME,2,0.04
MOUS,35,0.0385
MOUS,58,0.35
MOUS,3,0.1567
MOUS,1,0.01
MOUS,2,0.02
EAU,3,0.05
ACTI,34,0.001
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
ADDI,1,0.0016
MOUS,58,0.02
PARF,691,0.002
COLO,78,0.0008
COLO,79,0.002
ADDI,14,0.02
EAU,3,0.2454
EXTR,118,0.03
HUME,2,0.04
MOUS,35,0.0385
MOUS,58,0.35
MOUS,3,0.1567
MOUS,1,0.01
MOUS,2,0.02
EAU,3,0.05
ACTI,34,0.001
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
ADDI,1,0.0016
MOUS,58,0.02
PARF,691,0.002
COLO,78,0.0008
COLO,79,0.002
ADDI,14,0.02
EAU,3,0.7435
EMUL,78,0.03
GELI,7,0.0009
HUME,2,0.04
MOUS,35,0.0077
MOUS,58,0.07
MOUS,3,0.03134
MOUS,1,0.002
MOUS,2,0.004
EAU,3,0.05
ACTI,34,0.001
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
ADDI,1,0.0016
MOUS,58,0.004
PARF,691,0.001
COLO,78,0.00026
COLO,79,0.00074
EAU,3,0.4321
HUME,2,0.04
MOUS,35,0.0385
MOUS,58,0.2
MOUS,3,0.1
MOUS,1,0.01
MOUS,2,0.02
EAU,3,0.05
ACTI,34,0.001
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
ADDI,1,0.0016
MOUS,58,0.02
PARF,691,0.002
COLO,78,0.0008
COLO,79,0.002
ADDI,14,0.02
GELI,7,0.0061
EAU,3,0.3921
ADDI,98,0.0018
EAU,3,0.0072
MOUS,51,0.025
MOUS,58,0.28
MOUS,3,0.14
MOUS,39,0.04
MOUS,2,0.02
EAU,3,0.05
ACTI,34,0.001
THOR,45,0.01
THOR,42,0.001
ACTI,736,0.001
MOUS,58,0.02
PARF,691,0.002
COLO,78,0.0008
COLO,79,0.002
THOR,16,0.02
EMUL,128,0.01
HUIL,3,0.105
THOR,17,0.105
CGRA,69,0.012
THOR,40,0.08
THOR,48,0.04
ADDI,14,0.005
EAU,4,0.615
THOR,36,0.005
THOR,41,0.003
EAU,4,0.702
GELI,16,0.003
THOR,37,0.05
THOR,18,0.1
THOR,17,0.1
CGRA,1,0.02
THOR,38,0.015
THOR,36,0.005
THOR,39,0.005
EAU,4,0.87535
THOR,9,0.0005
THOR,10,0.0005
GELI,11,0.0075
THOR,1,0.02
EMUL,51,0.01
THOR,11,0.015
CGRA,1,0.025
THOR,12,0.04
THOR,13,0.005
THOR,14,0.00075
THOR,15,0.0001
THOR,8,0.0003
EAU,4,0.47225
THOR,23,0.3
MOUS,500,0.04
THOR,3,0.01
THOR,12,0.03
THOR,26,0.12
THOR,24,0.006
THOR,6,0.001
THOR,25,0.02
THOR,7,0.0004
THOR,8,0.000175
THOR,15,0.000175
THOR,16,0.02
THOR,17,0.02
THOR,18,0.11
HUIL,17,0.01
THOR,19,0.003
EAU,4,0.285
ADDI,14,0.02
THOR,20,0.03
THOR,1,0.35
THOR,21,0.15
THOR,6,0.001
THOR,22,0.001
THOR,16,0.02
THOR,17,0.02
THOR,18,0.11
HUIL,17,0.01
THOR,19,0.003
EAU,4,0.285
ADDI,14,0.02
THOR,20,0.03
THOR,1,0.35
THOR,21,0.15
THOR,6,0.001
THOR,22,0.001
THOR,16,0.02
THOR,17,0.02
THOR,18,0.11
HUIL,17,0.01
THOR,19,0.003
EAU,4,0.285
ADDI,14,0.02
THOR,20,0.03
THOR,1,0.35
THOR,21,0.15
THOR,6,0.001
THOR,22,0.001
THOR,16,0.02
THOR,17,0.02
THOR,18,0.11
HUIL,17,0.01
THOR,19,0.003
EAU,4,0.34
ADDI,33,0.005
THOR,20,0.03
THOR,1,0.32
THOR,21,0.14
THOR,6,0.001
THOR,22,0.001
THOR,16,0.02
THOR,17,0.02
THOR,18,0.11
HUIL,17,0.01
THOR,19,0.003
EAU,4,0.34
ADDI,33,0.005
THOR,20,0.03
THOR,1,0.32
THOR,21,0.14
THOR,6,0.001
THOR,22,0.001
THOR,16,0.02
THOR,17,0.02
THOR,18,0.11
HUIL,17,0.01
THOR,19,0.003
EAU,4,0.34
ADDI,33,0.005
THOR,20,0.03
THOR,1,0.32
THOR,21,0.14
THOR,6,0.001
THOR,22,0.001
THOR,16,0.02
THOR,17,0.02
THOR,18,0.11
HUIL,17,0.01
THOR,19,0.003
EAU,4,0.34
ADDI,33,0.005
THOR,20,0.03
THOR,1,0.32
THOR,21,0.14
THOR,6,0.001
THOR,22,0.001
THOR,16,0.02
THOR,17,0.02
THOR,18,0.11
HUIL,17,0.01
THOR,19,0.003
EAU,4,0.34
ADDI,33,0.005
THOR,20,0.03
THOR,1,0.32
THOR,21,0.14
THOR,6,0.001
THOR,22,0.001
EAU,7,0.7755
CONS,21,0.0025
HUME,2,0.03
GELI,18,0.012
SOLV,9,0.17
ACTI,606,0.01
EAU,9,0.561
HUME,2,0.01
MOUS,80,0.148
MOUS,37,0.086
MOUS,39,0.025
MOUS,71,0.06
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
EAU,9,0.561
HUME,2,0.01
MOUS,80,0.148
MOUS,37,0.086
MOUS,39,0.025
MOUS,71,0.06
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
EAU,9,0.561
HUME,2,0.01
MOUS,80,0.148
MOUS,37,0.086
MOUS,39,0.025
MOUS,71,0.06
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
EAU,9,0.561
HUME,2,0.01
MOUS,80,0.148
MOUS,37,0.086
MOUS,39,0.025
MOUS,71,0.06
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
EAU,9,0.4617
HUME,2,0.01
MOUS,80,0.25
MOUS,37,0.0833
MOUS,39,0.025
MOUS,71,0.06
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
EAU,9,0.4607
HUME,2,0.01
MOUS,80,0.25
MOUS,37,0.0833
MOUS,39,0.025
MOUS,71,0.06
MOUS,42,0.067
CONS,69,0.04
CONS,68,0.003
PARF,496,0.001
EMUL,98,0.025
EXTR,262,0.05
EMUL,99,0.03
HUME,2,0.1
HUIL,18,0.719
CGRA,58,0.015
CGRA,17,0.02
HUIL,133,0.03
CONS,63,0.008
PARF,8,0.003
EAU,4,0.809
ACTI,270,0.005
GELI,79,0.004
HUME,2,0.04
ECH,432,0.01
HUIL,40,0.02
CGRA,523,0.025
HUIL,168,0.03
HUIL,184,0.005
CGRA,45,0.005
CGRA,6,0.02
CGRA,4,0.007
CONS,74,0.01
CONS,69,0.01
EAU,4,0.798
ACTI,270,0.005
GELI,79,0.005
HUME,2,0.04
ECH,432,0.02
HUIL,40,0.02
CGRA,523,0.025
HUIL,168,0.03
HUIL,184,0.005
CGRA,45,0.005
CGRA,6,0.02
CGRA,4,0.007
CONS,74,0.01
CONS,69,0.01
EAU,4,0.787
ACTI,270,0.005
GELI,79,0.008
HUME,2,0.04
ECH,432,0.025
HUIL,40,0.02
CGRA,523,0.025
HUIL,168,0.03
HUIL,184,0.005
CGRA,45,0.005
CGRA,6,0.02
CGRA,4,0.01
CONS,74,0.01
CONS,69,0.01
EAU,4,0.5295
ACTI,412,0.03
CONS,21,0.003
EXTR,229,0.1
HUME,2,0.03
GELI,18,0.005
HUIL,18,0.08
HUIL,19,0.01
CGRA,6,0.01
CGRA,14,0.0025
CGRA,58,0.005
EMUL,85,0.035
HUIL,17,0.05
HUIL,95,0.05
HUIL,146,0.05
CONS,63,0.01
EAU,7,0.7405
CONS,21,0.0025
HUME,2,0.03
GELI,18,0.015
SOLV,9,0.2
ACTI,606,0.01
EAU,4,0.6025
EXTR,276,0.11
HUME,2,0.03
GELI,22,0.005
HUIL,40,0.035
HUIL,19,0.05
CGRA,6,0.01
CGRA,14,0.0025
EMUL,85,0.035
HUIL,17,0.05
HUIL,95,0.015
CONS,63,0.01
ACTI,540,0.003
ACTI,713,0.04
CONS,68,0.001
CONS,21,0.001
EAU,4,0.601
EXTR,276,0.11
HUME,2,0.03
CONS,21,0.001
GELI,22,0.005
HUIL,40,0.035
HUIL,19,0.05
CGRA,6,0.01
CGRA,14,0.0025
EMUL,85,0.035
HUIL,17,0.05
HUIL,95,0.015
CONS,63,0.01
ACTI,540,0.003
CONS,68,0.001
ACTI,713,0.04
PARF,351,0.0015
CONS,21,0.001
EXTR,276,0.11
EAU,4,0.60137
HUME,2,0.03
GELI,22,0.005
HUIL,40,0.035
HUIL,19,0.05
CGRA,6,0.01
